title,introduce,director,link
血钻,每个美丽事物背后都是滴血的现实。,爱德华·兹威克,https://movie.douban.com/subject/1428175/
疯狂的石头,中国版《两杆大烟枪》。,宁浩,https://movie.douban.com/subject/1862151/
国王的演讲,皇上无话儿。,汤姆·霍珀,https://movie.douban.com/subject/4023638/
大卫·戈尔的一生,捍卫人权只是信仰，一点不妨碍其行为的残忍。,Alan,https://movie.douban.com/subject/1305725/
枪火,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,杜琪峰,https://movie.douban.com/subject/1300741/
麦兜故事,麦兜是一只很哲学的猪。 ,袁建滔,https://movie.douban.com/subject/1302476/
千钧一发,一部能引人思考的科幻励志片。,安德鲁·尼科尔,https://movie.douban.com/subject/1300117/
暖暖内含光,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。,米歇尔·冈瑞,https://movie.douban.com/subject/1308777/
曾经,有些幸福无关爱情。,约翰·卡尼,https://movie.douban.com/subject/2053515/
遗愿清单,用剩余不多的时间，去燃烧整个生命。,罗伯·莱纳,https://movie.douban.com/subject/1867345/
荒岛余生,一个人的独角戏。,罗伯特·泽米吉斯,https://movie.douban.com/subject/1298653/
步履不停,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,是枝裕和,https://movie.douban.com/subject/2222996/
一个叫欧维的男人决定去死,惠及一生的美丽。,汉内斯·赫尔姆,https://movie.douban.com/subject/26628357/
彗星来的那一夜,小成本大魅力。,詹姆斯·沃德·布柯特,https://movie.douban.com/subject/25807345/
蝴蝶,我们长途跋涉寻找的东西，有可能一直就在身边。 ,菲利普·穆伊尔,https://movie.douban.com/subject/1292056/
我爱你,你要相信，这世上真的有爱存在，不管在什么年纪 ,秋昌民,https://movie.douban.com/subject/5908478/
巴黎淘气帮,四百击的反面。,Laurent,https://movie.douban.com/subject/3157605/
月球,2009媲美《第九区》的又一部科幻神作。,邓肯·琼斯,https://movie.douban.com/subject/3073124/
与狼共舞,充满诗意与情怀的史诗作品。 ,Kevin,https://movie.douban.com/subject/1293764/
偷拐抢骗,典型盖·里奇式的英国黑色幽默黑帮片。,盖·里奇,https://movie.douban.com/subject/1301171/
无人知晓,我的平常生活就是他人的幸福。,是枝裕和,https://movie.douban.com/subject/1292337/
寿司之神,仪式主义的狂欢，偏执狂的完胜。,大卫·贾柏,https://movie.douban.com/subject/6146955/
